fips,pop
00,328239523
01,4903185
02,731545
04,7278717
05,3017804
06,39512223
08,5758736
09,3565287
10,973764
11,705749
12,21477737
13,10617423
15,1415872
16,1787065
17,12671821
18,6732219
19,3155070
20,2913314
21,4467673
22,4648794
23,1344212
24,6045680
25,6892503
26,9986857
27,5639632
28,2976149
29,6137428
30,1068778
31,1934408
32,3080156
33,1359711
34,8882190
35,2096829
36,19453561
37,10488084
38,762062
39,11689100
40,3956971
41,4217737
42,12801989
44,1059361
45,5148714
46,884659
47,6829174
48,28995881
49,3205958
50,623989
51,8535519
53,7614893
54,1792147
55,5822434
56,578759
66,164229
69,55144
72,3193694
78,106235
